nx,quadraturetype,quadratureorder,convolutionmagnitude,convolutionwidth,rotationmagnitude,testcaseid,absL1,relL1,absL2,relL2
70,3,5,9.0,10.0,0,2,75.9502832682726989,0.1824537044445566,36.2000835142500748,0.1227332404829341
70,3,5,4.0,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,0.0,8.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,1.0,8.0,0,2,11.0955389850621629,0.0266545706417301,5.2789691981239297,0.0178978867780871
70,3,5,5.0,2.5,0,2,8.1818445273365619,0.0196550661691288,4.7709971840615575,0.0161756517634641
70,3,5,10.0,18.0,0,2,98.8852281429352473,0.2375498209242424,53.7676129233479756,0.1822944238379139
70,3,5,20.0,8.0,0,2,100.4844058039772960,0.2413914904449667,56.1972321778876633,0.1905318369955936
70,3,5,12.0,9.0,0,2,85.9270094334527244,0.2064205755177872,42.2536577246566338,0.1432573583086471
70,3,5,9.0,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,9.0,3.0,0,2,7.1457817915171136,0.0171661553178090,4.5909069831458202,0.0155650715716005
70,3,5,9.0,4.0,0,2,28.5014161376992909,0.0684683286548244,11.0020541827933656,0.0373015095750124
70,3,5,0.5,2.0,0,2,8.4564133158792529,0.0203146567649600,4.8116999286595883,0.0163136508854579
70,3,5,0.0,9.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,7.0,9.0,0,2,69.2525198120950733,0.1663638137754658,28.4670396062062778,0.0965150264487754
70,3,5,12.0,10.0,0,2,86.7697858077331574,0.2084451587700007,43.7950209886144677,0.1484832166432674
70,3,5,10.0,5.0,0,2,58.8649072764836916,0.1414098793607310,22.0689924501766725,0.0748230030059836
70,3,5,0.5,8.0,0,2,7.7859660877958943,0.0187040560517762,4.2352539919541181,0.0143592609806049
70,3,5,10.0,14.0,0,2,87.6159183882890886,0.2104778045631488,45.8135084349511530,0.1553267230972098
70,3,5,9.0,12.0,0,2,82.2549869074442768,0.1975993561115658,39.2064145207240813,0.1329259447689237
70,3,5,14.0,4.0,0,2,40.4344830132337023,0.0971348742309012,15.7912562929486260,0.0535388835599558
70,3,5,10.0,2.0,0,2,8.4376432508757429,0.0202695658483079,4.8099862911529438,0.0163078409462592
70,3,5,7.0,2.5,0,2,8.0952220396175996,0.0194469748613360,4.7594669131224672,0.0161365593808335
70,3,5,9.0,7.0,0,2,71.4529814234582119,0.1716499345798231,30.7467628485253037,0.1042442301900854
70,3,5,6.0,18.0,0,2,80.0934677862820479,0.1924067859997366,38.3252028445630373,0.1299382730823634
70,3,5,3.0,8.0,0,2,31.2381509264657815,0.0750427267848354,13.3784010488828251,0.0453583073244379
70,3,5,1.5,9.0,0,2,16.8986090922312897,0.0405951590456548,7.3734340733755008,0.0249989881088650
70,3,5,20.0,18.0,0,2,120.2442540348053512,0.2888601416972900,79.5596790457211398,0.2697401849147594
70,3,5,14.0,9.0,0,2,87.9421949474479163,0.2112616116054699,46.7728670021018829,0.1585793450334306
70,3,5,1.0,3.0,0,2,8.0872334600036240,0.0194277840712415,4.7344134009250398,0.0160516176227224
70,3,5,3.0,16.0,0,2,47.1641678793727408,0.1133014490050134,19.3803584699024078,0.0657074229067915
70,3,5,0.5,16.0,0,2,8.8532709364821365,0.0212680191475635,4.7504548708008851,0.0161060048337131
70,3,5,1.5,20.0,0,2,25.2116246717487016,0.0605653345646955,11.5869377162811347,0.0392845064192547
70,3,5,7.0,2.0,0,2,8.4436342169586904,0.0202839578151051,4.8105426353799512,0.0163097271830624
70,3,5,1.0,6.0,0,2,9.4947443361562165,0.0228090166664242,4.7792656472424300,0.0162036852700610
70,3,5,0.5,1.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,8.0,20.0,0,2,93.0253085033280627,0.2234726641318546,49.8834050476718787,0.1691253542388507
70,3,5,5.0,4.5,0,2,24.4912907205026542,0.0588348920674925,10.1980162737024642,0.0345754888459441
70,3,5,14.0,1.5,0,2,8.4574288751449540,0.0203170964207735,4.8117874770880009,0.0163139477108040
70,3,5,9.0,8.0,0,2,72.3908360468869034,0.1739029222305815,33.0723509827144611,0.1121289348655688
70,3,5,0.0,10.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,1.5,4.0,0,2,7.3680273599165895,0.0177000509862114,4.3833361643031807,0.0148613207303566
70,3,5,0.5,2.5,0,2,8.4219511580509963,0.0202318690769048,4.8073324405790734,0.0162988432962798
70,3,5,0.0,2.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,12.0,3.5,0,2,19.6560292089878992,0.0472192490867034,7.6046647198326340,0.0257829555416328
70,3,5,10.0,3.5,0,2,16.6352729550686220,0.0399625524025731,6.5505953625929925,0.0222092248938331
70,3,5,2.0,20.0,0,2,34.4189957230579608,0.0826840006738542,15.3196814188535413,0.0519400498886125
70,3,5,0.0,3.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,5.0,9.0,0,2,54.6019072291459651,0.1311689675798396,21.5746493001154178,0.0731469754715809
70,3,5,7.0,1.5,0,2,8.4574361769315054,0.0203171139616956,4.8117881150119981,0.0163139498736299
70,3,5,5.0,20.0,0,2,74.0670542495558237,0.1779296645595610,35.8760679213638483,0.1216346937443259
70,3,5,1.0,16.0,0,2,15.2247006904827664,0.0365739655009104,6.9275084789259296,0.0234871160934446
70,3,5,0.0,14.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,16.0,10.0,0,2,98.0867127560207024,0.2356315648739796,52.5016463087671283,0.1780022739347361
70,3,5,9.0,5.0,0,2,53.4974802452305482,0.1285158267904613,20.2181358936647371,0.0685478345312929
70,3,5,0.0,12.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,2.0,5.0,0,2,13.3904449833632064,0.0321675731313070,5.9460133940086077,0.0201594422154947
70,3,5,2.0,4.5,0,2,10.5564541828690430,0.0253595390113348,5.0888946963483042,0.0172534556809346
70,3,5,20.0,3.5,0,2,30.7838795917283505,0.0739514406924181,11.7637595289788877,0.0398840054246069
70,3,5,6.0,10.0,0,2,65.9500629034164945,0.1584303937692677,26.2584127090753370,0.0890268686936713
70,3,5,18.0,4.0,0,2,48.2197205898338979,0.1158371801961647,19.5314926980534871,0.0662198303867789
